,Unnamed: 0,RODADA,MANDANTE,GOLS_MANDANTE,VISITANTE,GOLS_VISITANTE,ANO,RESULTADO,RESULTADO_PREDITO
163,315,15,Figueirense,1.0,Chapecoense,1.0,2016,,Empate
164,344,27,Figueirense,3.0,Santa Cruz,1.0,2016,,Vitória_Mandante
165,275,31,Figueirense,1.0,Palmeiras,2.0,2016,,Vitória_Visitante
166,283,21,Figueirense,1.0,Cruzeiro,2.0,2016,,Empate
167,277,3,Figueirense,2.0,Santos,2.0,2016,,Vitória_Mandante
168,327,25,Figueirense,2.0,América-MG,2.0,2016,,Vitória_Mandante
169,285,9,Figueirense,3.0,Internacional,2.0,2016,,Vitória_Mandante
170,263,34,Flamengo,0.0,Botafogo,0.0,2016,,Empate
171,285,12,Flamengo,1.0,Internacional,0.0,2016,,Vitória_Mandante
172,287,5,Flamengo,1.0,Vitória,0.0,2016,,Vitória_Mandante
173,292,1,Flamengo,1.0,Sport,0.0,2016,,Vitória_Mandante
174,293,19,Flamengo,1.0,Atlético-PR,0.0,2016,,Vitória_Mandante
175,277,37,Flamengo,2.0,Santos,0.0,2016,,Vitória_Mandante
176,282,14,Flamengo,2.0,Atlético-MG,0.0,2016,,Vitória_Mandante
177,316,26,Flamengo,2.0,Figueirense,0.0,2016,,Vitória_Mandante
178,344,29,Flamengo,3.0,Santa Cruz,0.0,2016,,Vitória_Mandante
179,283,27,Flamengo,2.0,Cruzeiro,1.0,2016,,Vitória_Mandante
180,284,21,Flamengo,2.0,Grêmio,1.0,2016,,Vitória_Mandante
181,303,23,Flamengo,2.0,Ponte Preta,1.0,2016,,Vitória_Mandante
182,327,16,Flamengo,2.0,América-MG,1.0,2016,,Vitória_Mandante
183,266,11,Flamengo,1.0,Fluminense,2.0,2016,,Vitória_Mandante
184,275,6,Flamengo,1.0,Palmeiras,2.0,2016,,Vitória_Visitante
185,264,32,Flamengo,2.0,Corinthians,2.0,2016,,Empate
186,276,9,Flamengo,2.0,São Paulo,2.0,2016,,Vitória_Mandante
187,294,36,Flamengo,2.0,Coritiba,2.0,2016,,Empate
188,315,3,Flamengo,2.0,Chapecoense,2.0,2016,,Empate
189,294,13,Fluminense,0.0,Coritiba,0.0,2016,,Vitória_Mandante
190,263,4,Fluminense,1.0,Botafogo,0.0,2016,,Vitória_Mandante
191,264,8,Fluminense,1.0,Corinthians,0.0,2016,,Vitória_Mandante
192,327,20,Fluminense,1.0,América-MG,0.0,2016,,Vitória_Mandante
193,283,15,Fluminense,2.0,Cruzeiro,0.0,2016,,Vitória_Mandante
194,303,17,Fluminense,3.0,Ponte Preta,0.0,2016,,Vitória_Mandante
195,284,7,Fluminense,1.0,Grêmio,1.0,2016,,Vitória_Mandante
196,285,38,Fluminense,1.0,Internacional,1.0,2016,,Vitória_Mandante
197,293,35,Fluminense,1.0,Atlético-PR,1.0,2016,,Empate
198,292,28,Fluminense,3.0,Sport,1.0,2016,,Vitória_Mandante
199,275,22,Fluminense,0.0,Palmeiras,2.0,2016,,Empate
200,262,30,Fluminense,1.0,Flamengo,2.0,2016,,Vitória_Visitante
201,276,31,Fluminense,1.0,São Paulo,2.0,2016,,Vitória_Visitante
202,315,25,Fluminense,1.0,Chapecoense,2.0,2016,,Vitória_Mandante
203,287,33,Fluminense,2.0,Vitória,2.0,2016,,Vitória_Mandante
204,344,2,Fluminense,2.0,Santa Cruz,2.0,2016,,Vitória_Mandante
205,316,18,Fluminense,3.0,Figueirense,2.0,2016,,Vitória_Mandante
206,282,24,Fluminense,4.0,Atlético-MG,2.0,2016,,Vitória_Mandante
207,277,10,Fluminense,2.0,Santos,4.0,2016,,Vitória_Mandante
208,275,24,Grêmio,0.0,Palmeiras,0.0,2016,,Vitória_Mandante
209,285,32,Grêmio,0.0,Internacional,0.0,2016,,Empate
210,344,18,Grêmio,0.0,Santa Cruz,0.0,2016,,Vitória_Mandante
211,262,2,Grêmio,1.0,Flamengo,0.0,2016,,Vitória_Mandante
212,276,16,Grêmio,1.0,São Paulo,0.0,2016,,Empate
213,293,30,Grêmio,1.0,Atlético-PR,0.0,2016,,Vitória_Mandante
214,303,6,Grêmio,1.0,Ponte Preta,0.0,2016,,Vitória_Mandante
215,315,27,Grêmio,1.0,Chapecoense,0.0,2016,,Vitória_Mandante
216,283,9,Grêmio,2.0,Cruzeiro,0.0,2016,,Vitória_Mandante
217,294,4,Grêmio,2.0,Coritiba,0.0,2016,,Vitória_Mandante
218,264,20,Grêmio,3.0,Corinthians,0.0,2016,,Vitória_Mandante
219,327,36,Grêmio,3.0,América-MG,0.0,2016,,Vitória_Mandante
220,263,38,Grêmio,0.0,Botafogo,1.0,2016,,Vitória_Mandante
221,266,26,Grêmio,0.0,Fluminense,1.0,2016,,Vitória_Visitante
222,282,22,Grêmio,1.0,Atlético-MG,1.0,2016,,Vitória_Mandante
223,316,14,Grêmio,2.0,Figueirense,1.0,2016,,Vitória_Mandante
224,287,10,Grêmio,1.0,Vitória,2.0,2016,,Vitória_Mandante
225,277,12,Grêmio,3.0,Santos,2.0,2016,,Vitória_Mandante
226,292,34,Grêmio,0.0,Sport,3.0,2016,,Vitória_Mandante
227,315,1,Internacional,0.0,Chapecoense,0.0,2016,,Empate
228,283,37,Internacional,1.0,Cruzeiro,0.0,2016,,Vitória_Mandante
229,292,3,Internacional,1.0,Sport,0.0,2016,,Vitória_Mandante
230,293,5,Internacional,1.0,Atlético-PR,0.0,2016,,Vitória_Mandante
231,294,29,Internacional,1.0,Coritiba,0.0,2016,,Vitória_Mandante
232,316,28,Internacional,1.0,Figueirense,0.0,2016,,Vitória_Mandante
233,282,8,Internacional,2.0,Atlético-MG,0.0,2016,,Vitória_Mandante
234,264,17,Internacional,0.0,Corinthians,1.0,2016,,Vitória_Mandante
235,275,15,Internacional,0.0,Palmeiras,1.0,2016,,Vitória_Mandante
236,284,13,Internacional,0.0,Grêmio,1.0,2016,,Vitória_Mandante
237,287,25,Internacional,0.0,Vitória,1.0,2016,,Vitória_Mandante
238,276,21,Internacional,1.0,São Paulo,1.0,2016,,Vitória_Visitante
239,303,35,Internacional,1.0,Ponte Preta,1.0,2016,,Vitória_Mandante
240,344,33,Internacional,1.0,Santa Cruz,1.0,2016,,Vitória_Mandante
241,262,31,Internacional,2.0,Flamengo,1.0,2016,,Empate
242,277,23,Internacional,2.0,Santos,1.0,2016,,Vitória_Mandante
243,327,7,Internacional,3.0,América-MG,1.0,2016,,Vitória_Mandante
244,266,19,Internacional,2.0,Fluminense,2.0,2016,,Vitória_Mandante
245,263,11,Internacional,2.0,Botafogo,3.0,2016,,Vitória_Mandante
246,283,30,Palmeiras,0.0,Cruzeiro,0.0,2016,,Empate
