,Unnamed: 0,RODADA,GOLS_MANDANTE,GOLS_VISITANTE,ANO,RESULTADO_PREDITO,RESULTADO
152,294,11,0.0,0.0,2016,Empate,Empate
153,303,1,0.0,0.0,2016,Empate,Empate
154,262,7,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
155,266,37,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
156,276,5,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
157,287,17,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
158,293,23,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
159,263,29,0.0,1.0,2016,Vitória_Visitante,Vitória_Visitante
160,264,35,1.0,1.0,2016,Empate,Empate
161,282,13,1.0,1.0,2016,Empate,Empate
162,292,19,1.0,1.0,2016,Empate,Empate
163,315,15,1.0,1.0,2016,Empate,Empate
164,344,27,3.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
165,275,31,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
166,283,21,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
167,277,3,2.0,2.0,2016,Empate,Empate
168,327,25,2.0,2.0,2016,Empate,Empate
169,285,9,3.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
170,263,34,0.0,0.0,2016,Empate,Empate
171,285,12,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
172,287,5,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
173,292,1,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
174,293,19,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
175,277,37,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
176,282,14,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
177,316,26,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
178,344,29,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
179,283,27,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
180,284,21,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
181,303,23,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
182,327,16,2.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
183,266,11,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
184,275,6,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
185,264,32,2.0,2.0,2016,Empate,Empate
186,276,9,2.0,2.0,2016,Empate,Empate
187,294,36,2.0,2.0,2016,Empate,Empate
188,315,3,2.0,2.0,2016,Empate,Empate
189,294,13,0.0,0.0,2016,Empate,Empate
190,263,4,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
191,264,8,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
192,327,20,1.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
193,283,15,2.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
194,303,17,3.0,0.0,2016,Vitória_Mandante,Vitória_Mandante
195,284,7,1.0,1.0,2016,Empate,Empate
196,285,38,1.0,1.0,2016,Empate,Empate
197,293,35,1.0,1.0,2016,Empate,Empate
198,292,28,3.0,1.0,2016,Vitória_Mandante,Vitória_Mandante
199,275,22,0.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
200,262,30,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
201,276,31,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
202,315,25,1.0,2.0,2016,Vitória_Visitante,Vitória_Visitante
203,287,33,2.0,2.0,2016,Empate,Empate
204,344,2,2.0,2.0,2016,Empate,Empate
205,316,18,3.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
206,282,24,4.0,2.0,2016,Vitória_Mandante,Vitória_Mandante
207,277,10,2.0,4.0,2016,Vitória_Visitante,Vitória_Visitante
208,275,24,0.0,0.0,2016,Empate,Empate
209,285,32,0.0,0.0,2016,Empate,Empate
